0 cxi 2 2 cxi2
0 gpu 4 2
1 cxi 1 2 cxi1
1 gpu 2 2

# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       0.55              Pass
2                       0.55              Pass
4                       0.55              Pass
8                       0.55              Pass
16                      0.60              Pass
32                      0.60              Pass
64                      0.60              Pass
128                     0.61              Pass
256                     0.63              Pass
512                     0.84              Pass
1024                    0.85              Pass
2048                    0.85              Pass
4096                    0.89              Pass
8192                    0.94              Pass
16384                   1.13              Pass
32768                   1.59              Pass
65536                   2.27              Pass
131072                  4.68              Pass
262144                  7.32              Pass
524288                 15.90              Pass
1048576                29.80              Pass
2097152                59.81              Pass
4194304               132.27              Pass
